時間,じかん,time
直角,ちょっかく,right angle
厚い,あつい,thick
厚め,あつめ,"a bit thick, quite thick"
厚さ,あつさ,thickness
薄い,うすい,thin
長い,ながい,long
長さ,ながさ,length
短い,みじかい,short
太い,ふとい,"thick, large"
太さ,ふとさ,"thickness, diameter"
細い,ほそい,"slender, thin"
細長い,ほそながい,long and slender
広い,ひろい,"wide, spacious"
広さ,ひろさ,"width, area"
狭い,せまい,narrow
ADJめ,ADJめ,「～め」は「少し～い」という意味
ADJさ,ADJさ,「～さ」は「～ということ」も表す
カラー,からー,color
白黒,しろくろ,black and white
数,かず,numbers
量,りょう,quantity
数を数える,かずをかぞえる,to count (the number of)
数える,かぞえる,to count (numbers)
時間を計る,じかんをはかる,to time
計る,はかる,measure (time)
長さを測る,ながさをはかる,to measure length
測る,はかる,measure (length)
重さを量る,おもさをはかる,to measure weight
量る,はかる,measure (weight)
増える,ふえる,to increase
減る,へる,to decrease
増やす,ふやす,to increase (something)
減らす,へらす,to decrease (something)
増加する,ぞうかする,to increase
減少する,げんしょうする,to decrease
激増する,げきぞうする,to increase rapidly / suddenly
激減する,げきげんする,to decrease sharply
合計,ごうけい,total
平均,へいきん,average
倍,ばい,"~ times, ~ fold, double"
～以上,～いじょう,"more than ~, ~ and greater"
～以下,～いか,"less than ~, ~ and less"
～以内,～いない,"within ~, in under ~"
～未満,～みまん,"under ~, less than ~"
～ずつ,～ずつ,"~ each, ~ per"
割合が多いこと,わりあいがおおいこと,for the most part
殆ど(ほとんど)の国,ほとんどのくに,nearly all countries
殆ど(ほとんど),ほとんど,"mostly, almost, nearly"
ほぼ完成した,ほぼかんせいした,it's almost finished
ほぼ,ほぼ,"nearly, almost"
完成する,かんせいする,"to complete, finish, to perfect"
大体分かった,だいたいわかった,I understand it more or less
大体,だいたい,"more or less, almost"
だいぶ(大分)　慣れてきた,だいぶ(だいぶん)　ならてきた,I've just about got the hang of it
だいぶ(大分),だいぶ(だいぶん),"much, very, greatly, considerably"
慣れてきた(慣れる),なれてきた(なれる),"to get accustomed, get used to"
島の大部分,しまのだいぶぶん,most of the island
島,しま,island
大部分,だいぶぶん,"majority, mostly, largely"
単位,たんい,units
トン,とん (t),ton
キロ,きろ(k),kilo
キログラム,きろぐらむ (kg),kilogram
グラム,ぐらむ (g),gram
メートル,めーとる (m),meter
センチ,せんち (cm),centimeter
ミリ,みり (mm),millimeter
リットル,りっとる (l),liter
ミリリットル,みりりっとる (ml),milliliter
分,ふん,minute(s)
秒,びょう,second(s)
パーセント,ぱーせんと (%),percent
割,わり,"~ (tenth) percent counter, eg. 1割 = 10%"
趣味,しゅみ,hobbies
活動,かつどう,activities
スポーツ,すぽーつ,sports
運動,うんどう,exercise
スポーツジム/クラブ,すぽーつじむ/くらす,"gym, health club"
水泳,すいえい,swimming
マラソン,まらそん,"marathon, long-distance race"
ジョギング,じょぎんぐ,jogging
登山,とざん,mountain climbing
山登り,やまのぼり,mountain climbing
ハイキング,はいきんぐ,hiking
釣り,つり,fishing
キャンプ,きゃんぷ,camping
サイクリング,さいくりんぐ,cycling
ボウリング,ぼうりんぐ,bowling
野球,やきゅう,baseball
卓球,たっきゅう,table tennnis
柔道,じゅうどう,judo
空手,からて,karate
音楽,おんがく,music
絵,え,painting
歌を歌う,うたをうたう,to sing a song
歌,うた,song
歌う,うたう,to sing
踊る,おどる,to dance
踊り,おどり,dance
ダンス,だんす,dance
カラオケ,からおけ,karaoke
演奏する,えんそうする,to perform
演奏引く,えんそうひく,to perform
楽器を弾く,がっきをひく,to play an instrument
弾く,ひく,to play (musical instrument)
ピアノ,ぴあの,piano
